Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
250,0,100,495,1,99,748,1,22,361,0,100,588,0,100,327,1,61
366,1,99,121,1,39,618,0,100,556,1,1,670,0,100,702,1,61
341,1,2,121,1,43,647,1,1,532,0,100,573,1,95,675,1,93
477,1,99,469,1,99,491,0,100,546,0,0,409,1,7,451,1,27
376,1,2,400,1,98,592,0,0,461,1,48,579,1,96,599,1,99
295,0,0,471,0,100,827,1,99,645,0,100,627,1,3,394,1,27
441,0,0,121,1,43,511,1,99,439,0,100,783,1,5,515,1,92
392,0,0,121,1,49,424,0,100,560,0,100,659,1,7,588,1,95
302,1,97,121,1,46,422,0,100,516,0,100,617,1,3,734,1,99
334,1,99,518,0,100,620,1,64,980,0,100,539,0,100,727,1,91
361,0,0,121,1,43,486,1,40,726,0,0,569,0,100,405,1,68
441,0,0,121,1,51,1078,0,0,616,1,1,582,0,100,582,1,50
438,0,0,121,1,50,452,1,99,336,0,0,500,1,99,955,1,98
434,1,1,121,1,42,455,1,33,670,1,99,744,1,96,874,1,92
355,0,0,121,1,46,468,1,25,459,0,100,506,1,99,282,1,39
477,0,0,488,1,99,483,0,100,416,1,99,641,0,100,676,1,66
443,0,100,121,1,53,262,1,61,301,0,100,824,1,2,842,1,88
499,0,100,512,1,99,255,1,46,577,1,1,404,0,100,732,1,97
318,0,100,394,1,99,419,0,100,529,0,100,349,1,98,1007,1,99
428,1,98,121,1,44,508,0,100,357,0,0,683,1,2,734,1,98
349,0,100,132,1,43,1035,1,99,398,0,100,531,1,99,701,1,96
450,1,99,525,1,99,574,0,100,416,0,100,751,1,4,302,1,41
324,0,0,565,0,100,618,0,100,540,0,100,547,1,98,625,1,97
306,1,97,434,1,99,516,0,100,417,1,99,453,1,99,305,1,53
459,1,99,458,1,99,517,0,100,554,1,99,507,1,99,399,1,59
375,0,100,410,0,100,749,1,1,540,0,100,669,1,6,613,1,95
322,0,0,322,0,100,345,0,100,752,0,100,570,1,3,496,1,93
316,1,1,277,1,92,1102,0,0,357,0,100,623,1,7,650,1,94
361,0,0,471,0,100,1116,1,1,294,1,52,452,1,52,452,1,33
398,1,3,121,1,46,572,0,100,392,1,48,471,0,100,520,1,51
375,0,0,371,0,100,517,0,100,489,0,100,401,0,100,675,1,97
377,0,100,361,0,100,483,1,98,895,0,100,438,1,5,696,1,97
352,1,99,121,1,50,494,0,100,379,1,41,456,1,5,761,1,99
361,1,96,346,1,99,508,1,34,657,1,2,689,1,41,718,1,91
502,1,1,121,1,44,444,1,40,625,1,99,745,1,4,387,1,72
450,0,0,444,1,99,594,0,100,457,1,99,376,0,100,309,1,45
414,0,0,382,0,100,517,0,100,256,0,100,907,1,2,405,0,100
439,0,100,121,1,51,645,1,53,359,1,67,474,1,6,753,1,98
320,0,100,517,1,99,481,1,99,583,1,1,384,0,100,542,1,94
370,0,100,121,1,46,543,0,0,516,1,1,809,1,4,413,1,57
288,0,100,418,1,99,669,1,2,417,0,100,566,1,10,556,0,100
456,1,1,427,1,98,595,0,100,431,0,100,532,1,4,1004,1,97
368,0,0,636,1,99,588,0,100,461,0,100,412,0,100,272,1,47
427,0,100,424,1,98,828,1,65,498,0,100,446,1,99,450,1,58
